Character	Act 1	Act 2	Act 3	Act 4	Act 5
MESSENGERS.1_R3				7	
MESSENGERS.2_R3				5	
MESSENGERS.3_R3				11	
MESSENGERS.4_R3				12	
MESSENGERS.X.1_R3		10			
MESSENGERS.X.2_R3			17		
MESSENGERS.X.3_R3					3
HenryVI_1H6	2				10
PrinceEdward_3H6					9
ATTENDANTS.RICHMOND.0.1_R3					2
Scales_R3		3			
Woodeville_R3		3			
MURDERERS_R3-1					
CITIZENS_R3-2					
MESSENGERS_R3-3					
GHOSTS_R3-4					
ATTENDANTS_R3-5					
ATTENDANTS.0_R3-6					
BISHOPS_R3-7					
GENTLEMEN_R3-8					
GENTLEMEN.0_R3-9					
GUARDS_R3-10					
ATTENDANTS.RICHMOND_R3-11					
SOLDIERS_R3-12					
SOLDIERS.RICHARD_R3-13					
SOLDIERS.RICHARD.0_R3-14					
SOLDIERS.RICHMOND_R3-15					
MURDERERS.1_R3	74				
MURDERERS.2_R3	66				
CITIZENS.0_R3			2	(0)	(0)
CITIZENS.1_R3		10			
CITIZENS.2_R3		15			
CITIZENS.3_R3		30			
Archbishop		13			
Cardinal			13		
Clarence’s Boy		21			
Clarence’s Daughter		7		2	
Duchess of York		74		78	
Duke of Buckingham	15	43	283	33	41
Duke of Norfolk			2		19
Earl of Oxford					7
Earl of Richmond					150
Earl of Surrey					3
Earl Rivers	17	20	20		4
Gentleman	2				
George, Duke of Clarence	167				11
James Tyrrel				34	
John Morton, Bishop of Ely			10		
Keeper in the Tower	10				
King Edward IV		69			
Lady Anne	126			41	11
Lord Grey	10	3	8		3
Lord Lovell			7	3	
Lord Mayor of London			20		
Lord Stanley	10	10	24	55	34
Marquess of Dorset	5	17		4	3
Page				9	
Prince Edward			46		2
Pursuivant			6		
Queen Elizabeth	52	50		185	
Queen Margaret	131			98	
Richard	413	67	235	319	174
Richard, Duke of York		19	25		2
Scrivener			16		
Sheriff					4
Sir Christopher				10	
Sir James Blunt					13
Sir John			4		
Sir Richard Ratcliffe		5	10	20	23
Sir Robert Brakenbury	30			8	
Sir Thomas Vaughan			4		4
Sir Walter Herbert					6
Sir William Brandon					3
Sir William Catesby	4		47	17	14
William, Lord Hastings	18	11	131		8
